6/30	9:41	東京・富ヶ谷の私邸発
	9:53	官邸着
	10:57	麻生副総理兼財務大臣、財務省の岡本薫明事務次官、太田充主計局長、矢野康治主税局長と面会（～１１：１０）
	11:11	麻生副総理兼財務大臣と面会（～１１：３０）
	11:32	公明党の石田政務調査会長らから「骨太の方針」に向けた提言書を受け取る（～１１：４９）
	14:03	総合海洋政策本部参与会議の田中明彦座長から海洋政策に関する意見書を受け取る（～１４：１６）
	14:54	公明党の太田昭宏前代表と面会（～１５：５５）
	16:00	北村滋国家安全保障局長、瀧澤裕昭内閣情報官、防衛省の槌道明宏防衛政策局長、納富中情報本部長が入る
	16:12	北村国家安全保障局長、防衛省の槌道防衛政策局長、納富情報本部長が出る
	16:36	瀧澤内閣情報官が出る
	16:37	自民党の下村選挙対策委員長と面会（～１７：０５）
	17:11	加藤厚生労働大臣、菅官房長官、西村経済再生担当大臣、西村官房副長官、岡田官房副長官、杉田和博官房副長官、北村国家安全保障局長、長谷川榮一総理大臣補佐官、今井尚哉総理大臣補佐官、新型コロナウイルス感染症対策推進室の樽見英樹室長、外務省の秋葉剛男事務次官、厚生労働省の鈴木康裕医務技監が入る
	17:16	和泉洋人総理大臣補佐官が加わる
	17:27	全員出る
	17:28	西村経済再生担当大臣、新型コロナウイルス感染症対策推進室の樽見室長と面会（～１７：３６）
	17:37	自民党の薗浦健太郎総裁外交特別補佐、長谷川総理大臣補佐官、今井総理大臣補佐官が入る
	17:40	外務省の秋葉事務次官が加わる
	17:52	長谷川総理大臣補佐官、今井総理大臣補佐官、外務省の秋葉事務次官が出る
	17:54	自民党の薗浦総裁外交特別補佐が出る
	17:57	加藤厚生労働大臣、厚生労働省の鈴木医務技監、鎌田光明医薬・生活衛生局長と面会（～１８：２７）
	19:17	官邸発
	19:32	私邸着
6/29	9:41	東京・富ヶ谷の私邸発
	9:54	官邸着
	10:59	自民党の薗浦健太郎総裁外交特別補佐と面会（～１１：３３）
	11:56	官邸発
	11:58	東京・永田町の「ザ・キャピトルホテル東急」着　ホテル内の日本料理店「水簾」で自民党の甘利税制調査会長、作家の伊集院静氏、東急不動産ホールディングスの金指潔会長と会食
	13:32	「ザ・キャピトルホテル東急」発
	13:33	官邸着
	14:05	宇宙開発戦略本部の会合に出席　向こう１０年間の国の宇宙政策の基本方針を示す「宇宙基本計画」を改定（～１４：２０）
	15:00	自民党人工知能未来社会経済戦略本部の塩谷立本部長らから提言書を受け取る（～１５：２０）
	16:10	北村地方創生担当大臣、内閣府の山崎重孝事務次官、田和宏内閣府審議官、井上裕之政策統括官と面会（～１６：４２）
	17:25	加藤厚生労働大臣、菅官房長官、西村官房副長官、岡田官房副長官、杉田和博官房副長官、北村滋国家安全保障局長、和泉洋人総理大臣補佐官、長谷川榮一総理大臣補佐官、今井尚哉総理大臣補佐官、新型コロナウイルス感染症対策推進室の樽見英樹室長、外務省の秋葉剛男事務次官、厚生労働省の鈴木康裕医務技監と面会（～１７：３９）
	19:02	官邸発
	19:14	私邸着
6/28	9:00	終日、来客なく東京・富ヶ谷の私邸で過ごす
	11:47	東京・富ヶ谷の私邸発
	11:55	東京・渋谷の美容室「ＨＡＩＲ　ＧＵＥＳＴ」着。散髪
	13:36	「ＨＡＩＲ　ＧＵＥＳＴ」発
	13:44	私邸着
	15:39	私邸発
	15:49	官邸着
	16:00	加藤厚生労働大臣、菅官房長官、西村経済再生担当大臣、西村明宏官房副長官、岡田直樹官房副長官、杉田和博官房副長官、北村滋国家安全保障局長、和泉洋人総理大臣補佐官、新型コロナウイルス感染症対策推進室の樽見英樹室長、外務省の秋葉剛男事務次官、厚生労働省の鈴木康裕医務技監と面会（～16:15）
	16:16	北村国家安全保障局長と面会（～16:23）
	16:33	官邸発
	16:47	私邸着

6/26	9:41	東京・富ヶ谷の私邸発
	9:54	官邸着
	10:03	閣議（～10:16）
	10:17	藤井健志前内閣官房副長官補付内閣審議官に官房副長官補の辞令交付　古谷一之前官房副長官補が同席（～10:25）
	10:26	自民党拉致問題対策本部の山谷えり子本部長と面会（～10:58）
	11:06	自民党児童の養護と未来を考える議員連盟の塩崎恭久会長と面会（～11:36）
	11:37	竹本IT担当大臣、宇宙政策委員会の葛西敬之委員長、内閣府宇宙開発戦略推進事務局の松尾剛彦事務局長と面会（～11:54）
	13:57	麻生副総理兼財務大臣と面会（～14:36）
	15:35	木原稔総理大臣補佐官と面会（～15:42）
	15:43	自民党の高鳥修一総裁特別補佐と面会（～16:04）
	16:06	地方制度調査会の市川晃会長から答申を受け取り（～16:20）
	16:44	加藤厚生労働大臣、菅官房長官、西村経済再生担当大臣、西村官房副長官、岡田官房副長官、杉田官房副長官、北村滋国家安全保障局長、和泉洋人総理大臣補佐官、今井尚哉総理大臣補佐官、新型コロナウイルス感染症対策推進室の樽見英樹室長、外務省の秋葉剛男事務次官、厚生労働省の鈴木康裕医務技監と面会（～17:08）
	17:12	瀧澤裕昭内閣情報官と面会（～17:44）
	18:45	官邸発
	19:09	私邸着
6/25	9:39	東京・富ヶ谷の私邸発
6/25	9:52	官邸着
6/25	11:00	橋本女性活躍担当大臣、内閣府の山﨑重孝事務次官、男女共同参画局の池永局長と面会（～11:18）
6/25	13:58	林肇官房副長官補、今井尚哉総理大臣補佐官、外務省の秋葉剛男事務次官、中東アフリカ局の高橋克彦局長が入った
6/25	14:17	高橋局長が出て、外務省のアジア大洋州局の滝崎成樹局長が加わった
6/25	14:25	滝崎局長が出た
6/25	14:33	林官房副長官補、今井総理大臣補佐官、外務省の秋葉事務次官が出た
6/25	14:48	自民党の岸田文雄経済成長戦略本部長らから提言書を受け取る
6/25	15:13	日本維新の会の鈴木宗男参議院議員と面会（～15：40）
6/25	16:06	全世代型社会保障検討会議（～16:45）
6/25	17:02	北村滋国家安全保障局長、瀧澤裕昭内閣情報官、防衛省の槌道明宏防衛政策局長、自衛隊の山崎幸二統合幕僚長が入った
6/25	17:03	外務省の山田重夫総合外交政策局長が加わった
6/25	17:25	全員出た
6/25	17:26	北村国家安全保障局長と面会（～17:29）
6/25	17:32	日本医師会の横倉義武会長、小玉弘之常任理事と面会（～17:52）
6/25	17:56	加藤厚生労働大臣、菅官房長官、西村経済再生担当大臣、西村明宏官房副長官、岡田直樹官房副長官、杉田和博官房副長官、北村国家安全保障局長、和泉洋人総理大臣補佐官、長谷川榮一総理大臣補佐官、今井総理大臣補佐官、新型コロナウイルス感染症対策推進室の樽見英樹室長、外務省の秋葉事務次官、厚生労働省の鈴木康裕医務技監と面会（～18:12）
6/25	19:04	官邸発
6/25	19:21	東京・富ヶ谷の私邸着
	9:41	東京・富ヶ谷の私邸発
	9:55	官邸着
	12:01	公明党の山口代表と面会（～13:05）
	13:59	西村経済再生担当大臣、厚生労働省の伊原和人政策統括官、経済産業省の新原浩朗経済産業政策局長と面会（～14:24）
	14:40	北村地方創生担当大臣、木下賢志まち・ひと・しごと創生本部事務局地方創生総括官、内閣府の海堀安喜地方創生推進事務局長と面会（～15:06）
	15:23	林肇官房副長官補、今井尚哉総理大臣補佐官、外務省の山田重夫総合外交政策局長、防衛省の高橋憲一事務次官が入る
	15:41	北村滋国家安全保障局長が加わる
	15:59	全員出る
	16:02	自民党の棚橋泰文議員と面会（～16:07）
	16:46	北村国家安全保障局長と面会（～16:54）
	17:01	ＮＳＣ＝国家安全保障会議（～17:32）
	17:41	菅官房長官、加藤厚生労働大臣、西村経済再生担当大臣、西村官房副長官、岡田官房副長官、杉田官房副長官、北村国家安全保障局長、和泉総理大臣補佐官、長谷川栄一総理大臣補佐官、今井尚哉総理大臣補佐官、樽見英樹新型コロナウイルス感染症対策推進室長、外務省の秋葉事務次官、厚生労働省の鈴木康裕医務技監と面会
	17:57	そのまま西村経済再生担当大臣と面会（～17:58）
	18:20	官邸発
	18:28	東京・赤坂の日本料理店「たい家」着　自民党の二階幹事長、林幹事長代理と会食
	20:32	「たい家」発
	20:48	私邸着
	9:08	私邸発
	9:22	自民党本部着
	9:28	鹿児島県知事選の立候補予定者に推薦証を手渡す(～9:31)
	9:34	自民党役員会に出席(～9:53)
	9:54	自民党本部発
	9:57	官邸着
	14:31	自民党スポーツ立国調査会長を務める馳浩議員らから提言書受け取り(～14:43)
	15:45	北村滋国家安全保障局長、今井尚哉総理大臣補佐官、外務省の秋葉剛男事務次官、山田重夫総合外交政策局長、防衛省の高橋憲一事務次官、槌道明宏防衛政策局長と面会(～16:37)
	16:38	北村国家安全保障局長と面会(～16:40)
	16:41	北村国家安全保障局長、今井総理大臣補佐官、外務省の秋葉事務次官、鈴木量博北米局長、防衛省の高橋憲一事務次官、島田和久官房長と面会(～17:09)
	17:17	前田哲官房副長官補、瀧澤裕昭内閣情報官が入る
	17:30	前田官房副長官補が出る
	17:40	瀧澤内閣情報官が出る
	17:42	加藤厚生労働大臣、菅官房長官、西村経済再生担当大臣、西村明宏官房副長官、岡田直樹官房副長官、杉田和博官房副長官、北村国家安全保障局長、和泉洋人総理大臣補佐官、長谷川榮一総理大臣補佐官、今井総理大臣補佐官、新型コロナウイルス感染症対策推進室の樽見英樹室長、外務省の秋葉事務次官、厚生労働省の鈴木康裕医務技監と面会(～18:02)
	18:03	西村経済再生担当大臣と面会(～18:11)
	18:12	今井総理大臣補佐官、外務省の秋葉事務次官、鈴木北米局長と面会(～18:40)
	19:32	官邸発
	19:48	私邸着
	9:39	東京・富ヶ谷の私邸発
	9:55	官邸着
	10:15	原子力防災会議に出席（～10:25）
	10:26	小泉環境大臣と面会（～10:32）
	11:10	西村経済再生担当大臣、内閣府の山崎重孝事務次官、田和宏審議官、多田明弘政策統括官、井上裕之政策統括官と面会（～11:34）
	15:09	梶山経済産業大臣、外務省の金杉憲治外務審議官、経済産業省の田中繁広経済産業審議官、荒井勝喜政策立案総括審議官と面会（～15:55）
	16:02	経済財政諮問会議に出席（～16:53）
	17:03	自民党の平沢勝栄広報本部長、金田勝年幹事長代理と面会（～17:23）
	17:32	菅官房長官、西村経済再生担当大臣、西村官房副長官、岡田官房副長官、杉田官房副長官、北村滋国家安全保障局長、和泉洋人総理大臣補佐官、長谷川榮一総理大臣補佐官、今井尚哉総理大臣補佐官、新型コロナウイルス感染症対策推進室の樽見英樹室長、外務省の秋葉剛男事務次官、厚生労働省の鈴木康裕医務技監と面会（～17:34）
