2/26	18:00	菅官房長官、西村官房副長官、岡田直樹官房副長官、杉田和博官房副長官、沖田芳樹内閣危機管理監、北村国家安全保障局長、古谷一之官房副長官補、前田哲官房副長官補、長谷川榮一総理大臣補佐官、今井尚哉総理大臣補佐官、総務省の黒田武一郎務事務次官、外務省の秋葉剛男事務次官、山田総合外交政策局長、文部科学省の藤原誠文事務次官、厚生労働省の鈴木俊彦事務次官、鈴木康裕医務技監、経済産業省の荒井勝喜政策立案総括審議官、防衛省の高橋憲一衛事務次官と面会	
2/26	18:56	官邸発	
2/26	18:57	公邸着、サントリーホールディングスの佐治信忠会長、東映グループの岡田裕介会長、日本カルミックの高居隆章社長らと会食	〇
2/26	20:27	全員出る	

	7:10	東京・富ヶ谷の私邸発	
	7:22	官邸着	
	7:32	閣議（～7:40）	
	12:13	新型コロナウイルス感染症対策本部に出席（～12:32）	
	14:17	IAEA＝国際原子力機関のグロッシ事務局長の表敬(～14:44)	
	15:02	菅官房長官、西村明宏官房副長官、岡田直樹官房副長官、杉田和博官房副長官、沖田芳樹内閣危機管理監、北村滋国家安全保障局長、古谷一之官房副長官補、前田哲官房副長官補、今井尚哉総理大臣補佐官、総務省の黒田武一郎事務次官、出入国在留管理庁の佐々木聖子長官、外務省の秋葉剛男事務次官、山田重夫総合外交政策局長、文部科学省の藤原誠事務次官、厚生労働省の鈴木俊彦事務次官、鈴木康裕医務技監と面会（～15:56）	
	16:05	北村国家安全保障局長、今井総理大臣補佐官、外務省の秋葉事務次官、滝崎成樹アジア大洋州局長と面会（～16:40）	
	16:59	官邸発	
	17:01	東京・永田町の「ザ・キャピトルホテル東急」着。ホテル内の宴会場「鳳凰」で自民党と各種団体の懇談会に出席し、あいさつ	
	17:11	「ザ・キャピトルホテル東急」発	
	17:12	官邸着	
	17:19	北村国家安全保障局長、瀧澤裕昭内閣情報官、防衛省の槌道明宏防衛政策局長、納冨中情報本部長と面会	
	17:29	北村国家安全保障局長、防衛省の槌道防衛政策局長、納冨情報本部長が出る	
	17:50	瀧澤内閣情報官が出る	
	17:57	北村国家安全保障局長、今井総理大臣補佐官、外務省の秋葉事務次官と面会（～18:20）	
	18:37	官邸発	
