7/28	17:18	加藤厚生労働大臣、菅官房長官、西村経済再生担当大臣、西村官房副長官、岡田官房副長官、杉田官房副長官、北村国家安全保障局長、藤井官房副長官補、和泉総理大臣補佐官、長谷川総理大臣補佐官、今井総理大臣補佐官、新型コロナウイルス感染症対策推進室の樽見英樹室長、消防庁の横田真二長官、外務省の秋葉事務次官、厚生労働省の鈴木康裕医務技監と面会（～17:45）	
7/28	17:46	西村経済再生担当大臣と面会（～18:15）	
7/28	18:20	官邸発	
7/28	18:42	東京・富ヶ谷の私邸着
7/27	9:00	午前中は来客なく、東京・富ヶ谷の私邸で過ごす
	13:02	私邸発
	13:16	官邸着
	17:00	菅官房長官、西村官房副長官、岡田官房副長官、杉田官房副長官、沖田芳樹内閣危機管理監、藤井健志官房副長官補、和泉洋人総理大臣補佐官、長谷川榮一総理大臣補佐官、今井尚哉総理大臣補佐官、内閣府の青柳一郎政策統括官、総務省の竹内芳明総合通信基盤局長、経済産業省の荒井勝喜総括審議官、国土交通省の五道仁実水管理・国土保全局長、気象庁の関田康雄長官、環境省の山本昌宏水・大気環境局長、防衛省の菅原隆拓統合幕僚監部総括官と面会（～17:14）
	17:15	加藤厚生労働大臣、菅官房長官、西村経済再生担当大臣、西村官房副長官、岡田官房副長官、杉田官房副長官、北村滋国家安全保障局長、藤井官房副長官補、和泉総理大臣補佐官、長谷川総理大臣補佐官、今井総理大臣補佐官、今井総理大臣補佐官、新型コロナウイルス感染症対策推進室の樽見英樹室長、外務省の秋葉剛男事務次官、厚生労働省の鈴木康裕医務技監と面会(～17:47）
	17:56	官邸発
	18:21	私邸着
	9:00	終日、来客なく東京・富ヶ谷の私邸で過ごす

7/25	9:00	終日、来客なく東京・富ヶ谷の私邸で過ごす
7/24	9:00	東京・富ヶ谷の私邸で、午前中は来客なく過ごす	
7/24	16:40	私邸発	
7/24	16:53	官邸着	
7/24	17:00	菅官房長官、西村官房副長官、岡田官房副長官、杉田官房副長官、沖田芳樹内閣危機管理監、藤井健志官房副長官補、和泉洋人総理大臣補佐官、長谷川榮一総理大臣補佐官、今井尚哉総理大臣補佐官、総務省の竹内芳明総合通信基盤局長、経済産業省の荒井勝喜政策立案総括審議官、気象庁の関田康雄長官、環境省の山本昌宏水・大気環境局長、防衛省の菅原隆拓統合幕僚監部総括官と面会（～17:14）	
7/24	17:15	菅官房長官、加藤厚生労働大臣、西村経済再生担当大臣、西村官房副長官、岡田官房副長官、杉田官房副長官、北村滋国家安全保障局長、藤井官房副長官補、和泉総理大臣補佐官、長谷川総理大臣補佐官、今井総理大臣補佐官、新型コロナウイルス感染症対策推進室の樽見英樹室長、外務省の秋葉剛男事務次官、厚生労働省の鈴木康裕医務技監と面会（～17:41）	
7/24	17:41	加藤厚生労働大臣、厚生労働省の鈴木医務技監と面会（～17:48）	
