7/13	14:05	報道各社のインタビュー（～14:12）	
7/13	14:13	熊本県の人吉市役所発	
7/13	15:12	鹿児島空港着	
7/13	15:30	航空自衛隊のＣ２輸送機で鹿児島空港発	
7/13	17:08	羽田空港着	
7/13	17:16	羽田空港発	
7/13	17:37	官邸着	
7/13	18:00	菅官房長官、西村明宏官房副長官、岡田直樹官房副長官、杉田和博官房副長官、沖田芳樹内閣危機管理監、藤井健志官房副長官補、和泉洋人総理大臣補佐官、長谷川榮一総理大臣補佐官、今井尚哉総理大臣補佐官、内閣府の青柳一郎政策統括官、総務省の谷脇康彦審議官、経済産業省の荒井勝喜政策立案総括審議官、国土交通省の五道仁実水管理・国土保全局長、気象庁の関田康雄長官、防衛省の菅原隆拓統合幕僚監部総括官（～18:14）	
7/13	18:22	豪雨非常災害対策本部会議に出席（～18:47）	
7/13	18:49	加藤厚生労働大臣、菅官房長官、西村経済再生担当大臣、西村官房副長官、岡田官房副長官、杉田官房副長官、北村滋国家安全保障局長、和泉総理大臣補佐官、長谷川総理大臣補佐官、今井総理大臣補佐官、新型コロナウイルス感染症対策推進室の樽見英樹室長、外務省の秋葉剛男事務次官、厚生労働省の鈴木康裕医務技監と面会（～19:16）	
7/13	19:20	官邸発	
7/13	19:22	公邸着、キヤノングローバル戦略研究所の宮家邦彦研究主幹、双日総合研究所の吉崎達彦チーフエコノミストと会食	　　　　　　　　　
7/13	21:31	全員出る
7/12	午前中	来客なく、東京・富ヶ谷の私邸で過ごす	
	15:41	私邸発	
	15:55	官邸着	
	15:56	菅官房長官、西村官房副長官、岡田官房副長官、杉田官房副長官、沖田芳樹内閣危機管理監、藤井健志官房副長官補、和泉洋人総理大臣補佐官、長谷川榮一総理大臣補佐官、今井尚哉総理大臣補佐官、内閣府の青柳一郎政策統括官、谷脇康彦総務審議官、経済産業省の荒井勝喜政策立案総括審議官、国土交通省の五道仁実水管理・国土保全局長、気象庁の関田康雄長官、防衛省の菅原隆拓統合幕僚監部総括官と面会（～16:16）	
	16:17	菅官房長官、西村経済再生担当大臣、西村官房副長官、岡田官房副長官、杉田官房副長官、北村滋国家安全保障局長、和泉総理大臣補佐官、長谷川総理大臣補佐官、今井総理大臣補佐官、樽見英樹新型コロナウイルス感染症対策推進室長、森健良外務審議官、厚生労働省の鈴木康裕厚生労働省医務技監が入る	
	16:22	加藤厚生労働大臣が加わる	
	16:38	全員出る	
	16:47	官邸発	
	17:03	私邸着
7/11	9:00	東京・富ヶ谷の私邸で、午前中は来客なく過ごす	
	15:42	私邸発	
	15:53	公邸着	
	15:55	公邸発	
	15:56	官邸着	
	15:57	西村明宏官房副長官、岡田直樹官房副長官、杉田和博官房副長官、沖田芳樹内閣危機管理監、藤井健志官房副長官補、和泉洋人総理大臣補佐官、長谷川榮一総理大臣補佐官、今井尚哉総理大臣補佐官、内閣府の青柳一郎政策統括官、総務省の谷脇康彦総務審議官、経済産業省の荒井勝喜政策立案総括審議官、国土交通省の五道仁実水管理・国土保全局長、水嶋智鉄道局長、気象庁の関田康雄長官、防衛省の菅原隆拓統合幕僚監部総括官と面会（～１６：１７）	
	16:36	加藤厚生労働大臣、西村経済再生担当大臣、西村官房副長官、岡田官房副長官、杉田官房副長官、北村滋国家安全保障局長、和泉総理大臣補佐官、長谷川総理大臣補佐官、今井総理大臣補佐官、新型コロナウイルス感染症対策推進室の樽見英樹室長、外務省の秋葉剛男事務次官、厚生労働省の鈴木康裕医務技監が入る	
	17:08	西村経済再生担当大臣、西村官房副長官、杉田官房副長官、北村国家安全保障局長、和泉総理大臣補佐官、長谷川総理大臣補佐官、今井総理大臣補佐官が出る	
	17:09	岡田官房副長官、新型コロナウイルス感染症対策推進室の樽見室長が出る	
	17:13	加藤厚生労働大臣、外務省の秋葉事務次官、厚生労働省の鈴木医務技監が出る	
	17:14	北村国家安全保障局長と面会（～１７：２３）	
	17:26	官邸発	
	17:40	私邸着
7/10	9:49	公邸発
	9:51	官邸着
	10:02	閣議（～10:14）
	10:16	竹本IT担当大臣と面会（～10:34）
	10:36	財務省の中江元哉関税局長と面会（～10:43）
	11:13	自民党の高鳥修一総裁特別補佐と面会（～11:35）
	11:40	時事通信社の境克彦、大室真生新旧社長が交代のあいさつ（～12:00）
	13:46	自民党の二階俊博幹事長、林幹雄幹事長代理らから豪雨災害に関する申し入れ（～14:06）
	14:27	瀧澤裕昭内閣情報官と面会（～15:01）
	15:30	月刊誌「中央公論」掲載のため読売新聞の橋本五郎特別編集委員のインタビュー（～16:40）
	17:23	豪雨非常災害対策本部会議に出席　今回の豪雨災害について復旧にかかる費用を政府が支援する「激甚災害」に指定する見込みとなったことを明らかにした上で、引き続き、救命救助活動や被災地の復旧・復興に全力を尽くすよう指示（～17:47）
	17:52	加藤厚生労働大臣、菅官房長官、西村経済再生担当大臣、西村官房副長官、岡田官房副長官、杉田官房副長官、北村滋国家安全保障局長、和泉洋人総理大臣補佐官、長谷川榮一総理大臣補佐官、今井尚哉総理大臣補佐官、新型コロナウイルス感染症対策推進室の樽見英樹室長、外務省の秋葉剛男事務次官、厚生労働省の鈴木康裕医務技監と面会（～18:13）
	18:18	北村国家安全保障局長、林肇官房副長官補、今井総理大臣補佐官、外務省の秋葉事務次官、滝崎成樹アジア大洋州局長、鈴木量博北米局長、防衛省の高橋憲一事務次官と面会（～18:46）
	19:25	官邸発
	19:47	東京・富ヶ谷の私邸着
7/9	9:40	東京・富ヶ谷の私邸発	
7/9	9:55	官邸着	
7/9	10:03	北村滋国家安全保障局長、今井尚哉総理大臣補佐官、外務省の金杉憲治審議官と面会（～10:13）	
7/9	10:15	拉致問題対策本部の石川正一郎事務局長と面会（～10:42）	
7/9	11:00	萩生田文部科学大臣、文部科学省の生川浩史研究開発局長と面会（～11:15）	
7/9	11:24	自民党の岸田文雄政務調査会長と面会（～11:39）	
7/9	12:45	山口県の村岡知事、山口県議会の柳居俊学議長らと面会、岸信夫衆議院議員も同席（～12:55）	
7/9	13:55	加藤厚生労働大臣、厚生労働省の鈴木康裕医務技監と面会（～14:17）	
7/9	14:20	菅義偉官房長官、西村明宏官房副長官、岡田直樹官房副長官、杉田和博官房副長官、沖田芳樹内閣危機管理監、藤井健志官房副長官補、和泉洋人総理大臣補佐官、長谷川榮一総理大臣補佐官、今井総理大臣補佐官、内閣府の青柳一郎政策統括官、総務省の谷脇康彦審議官、経済産業省の荒井勝喜政策立案総括審議官、国土交通省の五道仁実水管理・国土保全局長、気象庁の関田康雄長官、防衛省の菅原隆拓統合幕僚監部総括官（14:44）	
7/9	15:03	豪雨非常災害対策本部会議に出席（～15:23）	
7/9	16:01	オーストラリアのモリソン首相とテレビ会談、コート駐日大使が同席（～17:41）	
7/9	17:44	加藤厚生労働大臣、西村経済再生担当大臣、西村官房副長官、北村国家安全保障局長、和泉総理大臣補佐官、長谷川総理大臣補佐官、今井総理大臣補佐官、新型コロナウイルス感染症対策推進室の樽見英樹室長、外務省の秋葉剛男事務次官、厚生労働省の鈴木医務技監と面会（～18:02）	
7/9	18:03	西村経済再生担当大臣、今井総理大臣補佐官、経済産業省の新原浩朗経済産業政策局長と面会（～18:56）	
7/9	19:10	報道各社のインタビュー（～19:11）	
7/9	19:12	官邸発	
7/9	19:14	公邸着
7/8	9:40	東京・富ヶ谷の私邸発	
7/8	9:53	官邸着	
7/8	14:52	国際協力銀行の前田匡史総裁、国土交通省の藤井直樹国土交通審議官と面会（～15:12）	
7/8	15:13	防衛省の高橋憲一事務次官、山崎幸二統合幕僚長と面会（～15:49）	
7/8	15:50	北村滋国家安全保障局長、瀧澤裕昭内閣情報官、外務省の山田重夫総合外交政策局長、防衛省の山崎統合幕僚長と面会（～16:14）	
7/8	16:14	北村国家安全保障局長と面会（～16:15）	
7/8	16:34	経済財政諮問会議に出席（～17:38）	
7/8	17:40	菅官房長官、西村官房副長官、岡田官房副長官、杉田官房副長官、沖田芳樹内閣危機管理監、藤井健志官房副長官補、和泉洋人総理大臣補佐官、長谷川榮一総理大臣補佐官、今井尚哉総理大臣補佐官、内閣府の青柳一郎政策統括官、総務省の谷脇康彦総務審議官、経済産業省の荒井勝喜政策立案総括審議官、国土交通省の五道仁実水管理・国土保全局長、気象庁の関田康雄長官、防衛省の菅原隆拓統合幕僚監部総括官と面会（～18:05）	
7/8	18:17	豪雨非常災害対策本部に出席（～18:37）	
7/8	18:40	菅官房長官、加藤厚生労働大臣、西村経済再生担当大臣、西村官房副長官、岡田官房副長官、杉田官房副長官、北村国家安全保障局長、和泉総理大臣補佐官、長谷川総理大臣補佐官、今井総理大臣補佐官、新型コロナウイルス感染症対策推進室の樽見英樹室長、外務省の秋葉剛男事務次官、厚生労働省の鈴木康裕医務技監と面会（～18:56）	
7/8	19:36	記者団に対し、「緊張感をもって政権運営にあたっていく」と述べる（～19:38）	
7/8	19:39	官邸発	
7/8	19:52	私邸着	
	9:10	私邸発	
	9:24	自民党本部着	
	9:31	自民党役員会に出席（～9:55）	
	9:56	自民党本部発	
	9:58	官邸着	
	10:03	閣議（～10:17）	
	10:19	茂木外務大臣と面会（～10:37）	
	12:10	政府与党連絡会議に出席（～12:34）	
	16:03	瀧澤裕昭内閣情報官、公安調査庁の浦田啓一次長が入る	
	16:06	北村滋国家安全保障局長が加わる	
	16:09	公安調査庁の浦田啓一次長が出る	
	16:17	北村国家安全保障局長が出る	
	16:32	瀧澤内閣情報官が出る	
	16:40	西村経済財政担当大臣、内閣府の山崎重孝事務次官、田和宏内閣府審議官、多田明弘政策統括官、井上裕之政策統括官と面会（～17:14）	
	17:15	菅官房長官、西村明宏官房副長官、岡田直樹官房副長官、杉田和博官房副長官、沖田芳樹内閣危機管理監、藤井健志官房副長官補、和泉洋人総理大臣補佐官、長谷川榮一総理大臣補佐官、今井尚哉総理大臣補佐官、内閣府の青柳一郎政策統括官、総務省の谷脇康彦審議官、経済産業省の荒井勝喜政策立案総括審議官、国土交通省の五道仁実水管理・国土保全局長、水嶋智鉄道局長、気象庁の関田康雄長官、防衛省の菅原隆拓統合幕僚監部総括官と面会（～17:39）	
	17:47	豪雨非常災害対策本部会議に出席（～18:09）	
	18:13	加藤厚生労働大臣、菅官房長官、西村経済再生担当大臣、西村官房副長官、岡田官房副長官、杉田官房副長官、北村国家安全保障局長、和泉総理大臣補佐官、長谷川総理大臣補佐官、今井総理大臣補佐官、新型コロナウイルス感染症対策推進室の樽見英樹室長、外務省の秋葉剛男事務次官、厚生労働省の鈴木康裕医務技監と面会（～18:34）	
	19:13	官邸発	
	19:28	私邸着
7/6	9:41	東京・富ヶ谷の私邸発	
	9:59	官邸着	
	10:59	東京都の小池知事と新型コロナウイルス感染症対策などについて意見交換(〜11:14)	
	16:34	西村官房副長官、岡田官房副長官、杉田官房副長官、沖田芳樹内閣危機管理監、藤井健志官房副長官補、和泉洋人総理大臣補佐官、長谷川栄一総理大臣補佐官、今井尚哉総理大臣補佐官、内閣府の青柳一郎政策統括官、総務省の谷脇康彦審議官、経済産業省の荒井勝喜政策立案総括審議官、国土交通省の五道仁実水管理・国土保全局長、水嶋智鉄道局長、関田康雄気象庁長官が入った	
	16:44	菅官房長官が加わる	
	16:53	全員出る	
	17:04	豪雨非常災害対策本部会議（～17:24）	
	17:31	菅官房長官、加藤厚生労働大臣、西村官房副長官、岡田官房副長官、杉田官房副長官、北村滋国家安全保障局長、和泉総理大臣補佐官、長谷川総理大臣補佐官、今井総理大臣補佐官、樽見英樹新型コロナウイルス感染症対策推進室長、外務省の秋葉剛男事務次官、厚生労働省の鈴木康裕医務技監が入った。	
	17:37	西村経済再生担当大臣が加わる	
	17:58	そのまま加藤厚生労働大臣、西村経済再生担当大臣と面会（～18:01）	
	18:02	北村国家安全保障局長と面会（～18:10）	
	18:56	官邸発	
	19:12	私邸着　そのまま来客なし
7/5	16:40	東京・富ヶ谷の私邸発	
7/5	16:51	官邸着	
7/5	16:57	菅官房長官、武田防災担当大臣、西村明宏官房副長官、岡田直樹官房副長官、杉田和博官房副長官、沖田芳樹内閣危機管理監、内閣府の青柳一郎政策統括官、気象庁の関田康雄長官（～17:18）	
7/5	17:32	令和２年７月豪雨非常災害対策本部会議に出席（～17:50）	
7/5	17:55	官邸発	
7/5	18:09	東京・富ヶ谷の私邸着
7/4	10:41	東京・富ヶ谷の私邸発	
	10:54	官邸着	
	11:23	熊本県と鹿児島県に大雨の特別警報が発表されたことを受けて、関係閣僚会議に出席　適切な情報提供を続けるとともに、人命第一に応急対策に取り組むことなどを指示（～１１：３８）	
	11:39	高市総務大臣と面会（～１１：５８）	
	12:00	官邸発	
	12:14	私邸着	
	15:40	私邸発	
	15:52	官邸着	
	16:02	加藤厚生労働大臣、菅官房長官、西村経済再生担当大臣、西村明宏官房副長官、岡田直樹官房副長官、杉田和博官房副長官、北村滋国家安全保障局長、和泉洋人総理大臣補佐官、長谷川榮一総理大臣補佐官、今井尚哉総理大臣補佐官、新型コロナウイルス感染症対策推進室の樽見英樹室長、外務省の秋葉剛男事務次官、厚生労働省の鈴木康裕医務技監と面会（～１６：２１）	
	16:22	加藤厚生労働大臣、菅官房長官、西村経済再生担当大臣、西村官房副長官、岡田官房副長官、杉田官房副長官、沖田芳樹内閣危機管理監、今井総理大臣補佐官、内閣府の青柳一郎政策統括官、気象庁の関田康雄長官と面会（～１６：３３）	
	16:45	官邸発	
	16:59	私邸着
7/3	9:50	公邸発	
7/3	9:51	官邸着	
7/3	10:02	閣議（～10:18）	
7/3	10:20	江藤農林水産大臣と面会（～10:39）	
7/3	10:52	自民党の稲田朋美幹事長代行と面会（～11:31）	
7/3	11:46	自民党外国人労働者等特別委員会の片山さつき委員長らから提言書を受け取る（～12:05）	
7/3	14:04	北村滋国家安全保障局長、今井尚哉総理大臣補佐官、外務省の秋葉剛男事務次官と面会（～14:15）	
7/3	14:16	北村国家安全保障局長と面会（～14:28）	
7/3	15:02	未来投資会議に出席（～15:52）	
7/3	16:12	瀧澤裕昭内閣情報官と面会（～16:42）	
7/3	16:46	菅官房長官、加藤厚生労働大臣、西村経済再生担当大臣、西村官房副長官、岡田官房副長官、杉田官房副長官、北村国家安全保障局長、和泉洋人総理大臣補佐官、長谷川榮一総理大臣補佐官、今井総理大臣補佐官、新型コロナウイルス感染症対策推進室の樽見英樹室長、外務省の秋葉事務次官、厚生労働省の鈴木康裕医務技監と面会（～17:05）	
7/3	17:06	加藤厚生労働大臣、西村経済再生担当大臣と面会（～17:17）	
7/3	18:16	官邸発	
7/3	18:23	東京・赤坂の日本料理店「もりかわ」着　ＪＲ東海の葛西敬之名誉会長、北村国家安全保障局長と会食	夕食
7/3	21:01	「もりかわ」発	
7/3	21:13	東京・富ヶ谷の私邸着
7/2	9:51	公邸発	
	9:52	官邸着	
	10:45	梶山経済産業大臣、経済産業省の安藤久佳事務次官、荒井勝喜政策立案総括審議官と面会（～11:04）	
	11:18	北村滋国家安全保障局長、今井尚哉総理大臣補佐官、外務省の秋葉剛男事務次官、滝崎成樹アジア大洋州局長が入る	
	11:48	外務省の滝崎アジア大洋州局長が出る	
	12:06	全員出る	
	14:00	西村経済再生担当大臣、経済産業省の新原浩朗経済産業政策局長と面会（～14:28）	
	15:03	規制改革推進会議に出席（～15:22）	
	16:00	官邸発	
	16:01	公邸着。月刊誌「Ｈａｎａｄａ」のインタビュー	
	17:02	公邸発	
	17:03	官邸着	
	17:41	菅官房長官、西村経済再生担当大臣、西村明宏官房副長官、岡田直樹官房副長官、杉田和博官房副長官、北村国家安全保障局長、和泉洋人総理大臣補佐官、長谷川榮一総理大臣補佐官、今井総理大臣補佐官、新型コロナウイルス感染症対策推進室の樽見英樹室長、外務省の秋葉事務次官、厚生労働省の鈴木康裕医務技監と面会（～17:58）	
	18:10	日本医師会の中川俊男会長、今村聡副会長、松原謙二副会長、猪口雄二副会長と面会（～18:25）	
	18:57	報道各社のインタビュー（～18:58）	
	18:59	官邸発	
	19:00	公邸着。そのまま宿泊	

7/1	9:40	私邸発
	9:55	官邸着
	10:32	すべての女性が輝く社会づくり本部に出席（～10:43）
	10:54	自民党の根本匠衆議院議員、石原伸晃衆議院議員、塩崎恭久衆議院議員と面会（～11:36）
	11:38	日本銀行の中村豊明審議委員に辞令交付　菅官房長官が同席（～11:50）
	14:10	藤原聖也駐ジャマイカ大使、千葉広久駐バヌアツ大使、津川貴久駐ベナン大使、堤尚広駐南スーダン大使の新任あいさつ（～14:20）
	15:47	自民党の岸田文雄経済成長戦略本部長、田村憲久新型コロナウイルス関連肺炎対策本部長らから提言書を受け取り（～16:14）
	16:31	加藤厚生労働大臣、菅官房長官、西村経済再生担当大臣、西村官房副長官、岡田官房副長官、杉田官房副長官、北村滋国家安全保障局長、和泉洋人総理大臣補佐官、長谷川榮一総理大臣補佐官、今井尚哉総理大臣補佐官、新型コロナウイルス感染症対策推進室の樽見英樹室長、外務省の秋葉剛男事務次官、厚生労働省の鈴木康裕医務技監と面会（～16:52）
	16:54	西村経済再生担当大臣と面会（～17:04）
	17:05	北村国家安全保障局長、瀧澤裕昭内閣情報官、外務省の山田重夫総合外交政策局長、防衛省の槌道明宏防衛政策局長、自衛隊の山崎幸二統合幕僚長と面会（～17:29）
	17:30	北村国家安全保障局長（～17:34）
	17:43	自民党の遠藤利明2020年オリンピック・パラリンピック東京大会実施本部長らから決議書を受け取り（～17:59）
	18:00	北村国家安全保障局長、和泉総理大臣補佐官、今井総理大臣補佐官、外務省の秋葉事務次官、鈴木量博北米局長、防衛省の高橋憲一事務次官と面会（～18:15）
	18:27	官邸発
	18:28	公邸着　九州電力の松尾新吾特別顧問、JR九州の石原進特別顧問、仏壇仏具販売「はせがわ」の長谷川裕一相談役と会食（～20:53） 　そのまま公邸に宿泊
