4/30	（以下、すべて日本時間）11:08:00	インドネシア・ジャカルタの「ホテル・インドネシア・ケンピンスキー・ジャカルタ」で元日本留学生による表敬（～11:29）
	11:30	秋葉剛男国家安全保障局長、外務省の森健良事務次官、市川恵一北米局長と面会(～11:47)
	11:48	秋葉国家安全保障局長、外務省の山田重夫外務審議官、加納雄大南部アジア部長、宇山秀樹欧州局長と面会(～12:04)
	15:52	官邸発
	15:55	東京・永田町の全国町村会館西館着　自民党岸田派の会合に出席
	16:19	同所発
	16:24	官邸着
	16:42	原油価格・物価高騰等に関する関係閣僚会議(～16:57)
	18:00	記者会見(～18:41)
	18:43	官邸発
	18:52	東京・芝公園の東京プリンスホテル着　宴会場「鳳凰の間」で自民党茂木派のパーティーに出席し、あいさつ
	19:03	同所発
	19:13	官邸着
	19:35	ウクライナのゼレンスキー大統領と電話会談(～20:15)
	20:21	報道各社のインタビュー(～20:23)
	20:24	官邸発
	20:25	公邸着
	21:41	公邸発
	21:46	東京・六本木のテレビ東京着
	22:01	報道番組に出演(22:28)
	22:32	同所発
	22:37	公邸着
4/25	8:19	公邸発
	8:25	東京・内幸町の「帝国ホテル」着　フレンチレストラン「レ　セゾン」で核軍縮について有識者と朝食会　メンバーは熊本県立大学の白石隆理事長、東京大学公共政策大学院の高見沢将林客員教授、広島平和文化センターの小溝泰義前理事長、政策研究大学院大学の岩間陽子教授、一橋大学の秋山信将教授、寺田稔総理大臣補佐官も同席	○
	9:41	同所発
	9:47	官邸着
	9:49	文化庁の都倉俊一長官（～10:20)
	10:45	兵庫県立大学の五百旗頭真理事長（～10:50)
	10:55	若宮健嗣デジタル田園都市国家構想担当大臣、牧島かれんデジタル大臣、金子恭之総務大臣、後藤茂之厚生労働大臣（～11:46)
	11:49	シュワブ世界経済フォーラム会長による表敬（～12:08)
	12:51	官邸発
	12:52	公邸着　官邸ホームページ用に動画撮影
	13:17	公邸発
	13:18	官邸着
	13:43	自民党の小渕優子組織運動本部長（～13:58)
	14:24	国家安全保障会議
	15:02	フィンランド関連イベントと「Digi田甲子園」用にビデオメッセージ収録（～15:14)
	15:15	小林元治日弁連会長（～15:32)
	15:37	木原誠二官房副長官、磯崎仁彦官房副長官、栗生俊一官房副長官、村田隆内閣危機管理監、高橋憲一官房副長官補、藤井直樹国土交通審議官（～15:42)
	15:43	木原官房副長官、磯崎官房副長官、栗生官房副長官、村田内閣危機管理監、秋葉剛男国家安全保障局長、柳淳内閣情報調査室次長、外務省の森健良事務次官、宇山秀樹欧州局長、防衛省の増田和夫防衛政策局長入る
	15:46	神田真人財務官加わる
	15:49	木原官房副長官、磯崎官房副長官、栗生官房副長官、村田内閣危機管理監、柳内閣情報調査室次長、外務省の森事務次官、宇山欧州局長、防衛省の増田防衛政策局長、神田財務官出る
	15:51	秋葉国家安全保障局長出る
	15:57	官邸発
	16:00	自民党本部着
	16:01	自民党の麻生太郎副総裁、茂木敏充幹事長（～16:30)
	16:31	参院選戦略策定本部（～16:57）
	17:02	同党役員会（～17:20)
	17:23	同党都道府県連のセミナー向けビデオメッセージ収録　同党河野太郎広報本部長同席（～17:56)
	17:57	同党遠藤利明選対委員長（～18:01)
	18:03	同所発
	18:05	官邸着
	19:01	官邸発
	19:05	東京・内幸町の帝国ホテル着　宴会場「雅の間」で茂木友三郎キッコーマン名誉会長、岩沙弘道三井不動産会長、片野坂真哉ＡＮＡホールディングス会長、金丸恭文フューチャー会長兼社長、小林喜光三菱ケミカルホールディングス取締役、新浪剛史サントリーホールディングス社長らと会食　	○
	21:03	同所発
	21:11	公邸着
4/24	14:00	公邸で。木原誠二官房副長官、磯崎仁彦官房副長官、栗生俊一官房副長官、村田隆内閣危機管理監、藤井健志官房副長官補、高橋憲一官房副長官補、藤井直樹国土交通審議官、海上保安庁の奥島高弘長官（～14:19)
	14:36	公邸発。妻の裕子さんと共に
	14:48	東京・築地の築地本願寺着。母の澄子さんの三回忌法要
	16:01	同所発
	16:14	東京・日本橋室町のホテル「マンダリンオリエンタル東京」着。会場「リンデンルーム」で妻の裕子さんら親族と食事	○
	18:36	同所発
	18:41	東京・鍛治町の「ヘアモードキクチ　神田日銀通り店」着。散髪
	20:31	同所発
	20:43	公邸着
4/23	6:39	公邸発
	7:02	羽田空港着
	7:29	全日空２４１１便で同空港発
	9:01	熊本空港着
	9:14	同空港発
	9:40	熊本市中央区の熊本城ホール着
	9:51	森喜朗元首相と面会（～10:06）
	10:10	第４回アジア・太平洋水サミット開会式（～11:36）
	11:52	サミット出席の各国首脳らと写真撮影（～11:59）
	12:03	各国首脳らと昼食会(～12:38)	○
	12:54	首脳級会合（～14:06）
	14:20	ツバルのナタノ首相と会談（～14:51）
	15:07	カンボジアのフン・セン首相と会談（～15:53）
	15:55	フン・セン首相と署名式に立ち会い（～15:58）
	16:10	ラオスのパンカム首相と会談（～17:21）
	17:22	パンカム首相と署名式に立ち会い（～17:24）
	17:40	報道各社のインタビュー
	17:56	同所発
	18:04	熊本市中央区の日本料理店「水前寺　羅生門」着　フン・セン首相と夕食会	○
	19:52	同所発
	20:02	同区の熊本ホテルキャッスル着。自民党の馬場成志参議院議員出迎え　宴会場「トゥール　ド　シャトー」で自身の熊本後援会会合に出席し、あいさつ
	20:31	同所発
	20:34	同区のホテル日航熊本着
	21:30	同所発
	22:05	熊本県益城町の陸上自衛隊高遊原分屯地着
	22:25	航空自衛隊のＣ１３０輸送機で同分屯地発
	0:00	羽田空港着
	0:22	陸自ヘリコプターで同空港発
	0:36	官邸屋上ヘリポート着
