5/31	午前中	東京・富ヶ谷の私邸で過ごす　来客なし
5/11	18:00	菅官房長官、加藤厚生労働大臣、西村経済再生担当大臣、西村官房副長官、岡田官房副長官、杉田官房副長官、北村滋国家安全保障局長、和泉洋人総理大臣補佐官、長谷川榮一総理大臣補佐官、今井尚哉総理大臣補佐官、新型コロナウイルス感染症対策推進室の樽見英樹室長、外務省の秋葉剛男事務次官、厚生労働省の鈴木康裕医務技監と面会（～18:28）
5/11	18:58	官邸発
5/11	19:16	私邸着
5/10	9:00	東京・富ヶ谷の私邸で、午前中は来客なく過ごす
	15:40	私邸発
	15:49	官邸着
	16:07	加藤厚生労働大臣、菅官房長官、西村経済再生担当大臣、西村明宏官房副長官、杉田和博官房副長官、北村滋国家安全保障局長、和泉洋人総理大臣補佐官、長谷川榮一総理大臣補佐官、今井尚哉総理大臣補佐官、新型コロナウイルス感染症対策推進室の樽見英樹室長、外務省の秋葉剛男事務次官、厚生労働省の鈴木康裕医務技監が入る
	16:29	北村国家安全保障局長、外務省の秋葉事務次官が出る
	17:08	加藤厚生労働大臣、菅官房長官、西村経済再生担当大臣、西村官房副長官、杉田官房副長官、和泉総理大臣補佐官、長谷川総理大臣補佐官、今井総理大臣補佐官、新型コロナウイルス感染症対策推進室の樽見室長、厚生労働省の鈴木医務技監が出る
	17:11	北村国家安全保障局長と面会（～１７：１５）
	17:21	官邸発
	17:34	私邸着

5/9	15:41	東京・富ヶ谷の私邸発
5/9	15:52	官邸着
5/9	16:03	加藤厚生労働大臣、菅官房長官、西村経済再生担当大臣、西村明宏官房副長官、岡田直樹官房副長官、杉田和博官房副長官、北村滋国家安全保障局長、和泉洋人総理大臣補佐官、長谷川榮一総理大臣補佐官、今井尚哉総理大臣補佐官、新型コロナウイルス感染症対策推進室の樽見英樹室長、外務省の秋葉剛男事務次官、厚生労働省の鈴木康裕医務技監、吉田学医政局長と面会
5/9	17:29	菅官房長官、西村官房副長官、岡田官房副長官、杉田官房副長官、北村国家安全保障局長、和泉総理大臣補佐官、長谷川総理大臣補佐官、今井総理大臣補佐官、新型コロナウイルス感染症対策推進室の樽見室長、外務省の秋葉事務次官、厚生労働省の鈴木医務技監、吉田医政局長が出た
5/9	17:38	加藤厚生労働大臣、西村経済再生担当大臣が出た
5/9	17:47	官邸発
5/9	18:02	東京・富ヶ谷の私邸着

