5/31	午前中	東京・富ヶ谷の私邸で過ごす　来客なし
	17:08	北村国家安全保障局長、瀧澤裕昭内閣情報官、公安調査庁の浦田啓一次長が入る
	17:19	北村国家安全保障局長、公安調査庁の浦田次長が出る
	17:33	瀧澤内閣情報官が出る
	17:34	森喜朗元総理大臣と面会（～17:47）
	18:00	ＥＵ＝欧州連合のミシェル大統領、フォンデアライエン欧州委員長とテレビ会議（～19:00）
	19:35	官邸発
	19:48	私邸着
5/25	9:41	東京・富ヶ谷の私邸発
5/25	9:54	官邸着
5/25	10:17	拉致問題対策本部の石川正一郎事務局長と面会（～10:47）
5/25	14:00	竹本ＩＴ担当大臣、内閣府の三又裕生知的財産戦略推進事務局長と面会（～14:12）
5/25	14:30	岡田官房副長官、林肇官房副長官補、長谷川榮一総理大臣補佐官、今井尚哉総理大臣補佐官、外務省の森健良外務審議官、金杉憲治外務審議官、正木靖欧州局長、財務省の武内良樹財務官、厚生労働省の鈴木康裕医務技監、経済産業省の田中繁広経済産業審議官と面会（～15:00）
5/25	15:27	北村滋国家安全保障局長と面会（～15:32）
5/25	15:57	官邸発
5/25	15:59	国会着
5/25	16:00	院内総裁室に入る
5/25	16:01	自民党役員会に出席（～16:33）
5/25	16:33	院内総裁室を出る
5/25	16:34	国会発
5/25	16:35	官邸着
5/25	16:39	菅官房長官、加藤厚生労働大臣、西村官房副長官、杉田官房副長官、北村国家安全保障局長、和泉洋人総理大臣補佐官、長谷川総理大臣補佐官、今井総理大臣補佐官、新型コロナウイルス感染症対策推進室の樽見英樹室長、外務省の秋葉剛男事務次官、厚生労働省の鈴木医務技監、経済産業省の荒井勝喜政策立案総括審議官と面会（～16:41）
5/25	16:41	菅官房長官、加藤厚生労働大臣、西村官房副長官、岡田官房副長官、杉田官房副長官、北村国家安全保障局長、和泉総理大臣補佐官、長谷川総理大臣補佐官、今井総理大臣補佐官、新型コロナウイルス感染症対策推進室の樽見室長、外務省の秋葉事務次官、厚生労働省の鈴木医務技監、経済産業省の荒井政策立案総括審議官と面会（～16:52）
5/25	18:00	記者会見（～19:10）
5/25	19:15	新型コロナウイルス感染症対策本部に出席（～19:32）
5/25	20:17	官邸発
5/25	20:32	私邸着

5/24	15:00	東京・富ヶ谷の私邸発
5/24	15:11	官邸着
