"2020-05-27T09:46:00"	"自民党の二階幹事長と面会（～10:06）"
"2020-05-27T15:41:00"	"北村滋国家安全保障局長、瀧澤裕昭内閣情報官、外務省の山田重夫総合外交政策局長、防衛省の槌道明宏防衛政策局長、山崎幸二統合幕僚長と面会"
"2020-05-27T16:01:00"	"そのまま北村国家安全保障局長、外務省の秋葉事務次官と面会"
"2020-05-27T16:06:00"	"そのまま北村国家安全保障局長と面会（～16:13）"
"2020-05-27T16:35:00"	"加藤厚生労働大臣、西村経済再生担当大臣、西村官房副長官、岡田官房副長官、杉田官房副長官、北村国家安全保障局長、和泉洋人総理大臣補佐官、長谷川栄一総理大臣補佐官、今井尚哉総理大臣補佐官、新型コロナウイルス感染症対策推進室の樽見英樹室長、外務省の秋葉事務次官、厚生労働省の鈴木康裕医務技監と面会"
"2020-05-27T16:38:00"	"菅官房長官が加わる"
"2020-05-27T16:44:00"	"全員出る"
"2020-05-27T17:20:00"	"知的財産戦略本部会合（～17:48）"
"2020-05-27T18:00:00"	"日本維新の会の鈴木宗男参議院議員と面会（～18:35）"
"2020-05-27T19:37:00"	"官邸発"
"2020-05-27T19:53:00"	"私邸着　そのまま来客なし"
"2020-05-27T09:42:00"	"東京・富ヶ谷の私邸発"
"2020-05-27T09:52:00"	"官邸着"
"2020-05-27T13:04:00"	"官邸発"
"2020-05-27T13:05:00"	"国会着"
"2020-05-27T13:07:00"	"衆議院本会議場に入る。衆議院本会議に出席"
"2020-05-27T13:17:00"	"衆議院本会議が散会"
"2020-05-27T13:18:00"	"衆議院本会議場を出る"
"2020-05-27T13:19:00"	"国会発"
"2020-05-27T13:21:00"	"官邸着"
"2020-05-27T14:40:00"	"国連の「新型コロナウイルス時代とその後における開発資金ハイレベルイベント」向けのビデオメッセージ収録（～14:46）"
"2020-05-27T14:53:00"	"官邸発"
"2020-05-27T14:55:00"	"国会着"
"2020-05-27T14:56:00"	"参議院第４３理事会室に入る"
"2020-05-27T15:03:00"	"参議院第４３理事会室を出る"
"2020-05-27T15:04:00"	"参議院第４３委員会室に入る。参議院厚生労働委員会に出席"
"2020-05-27T16:35:00"	"参議院厚生労働委員会が散会し、参議院第４３委員会室を出る"
"2020-05-27T16:37:00"	"国会発"
"2020-05-27T16:38:00"	"官邸着"
"2020-05-27T16:45:00"	"加藤厚生労働大臣、菅官房長官、西村経済再生担当大臣、西村明宏官房副長官、岡田直樹官房副長官、杉田和博官房副長官、北村滋国家安全保障局長、和泉洋人総理大臣補佐官、長谷川榮一総理大臣補佐官、今井尚哉総理大臣補佐官、新型コロナウイルス感染症対策推進室の樽見英樹室長、外務省の秋葉剛男事務次官、厚生労働省の鈴木康裕医務技監と面会（～16:57）"
"2020-05-27T17:08:00"	"北村国家安全保障局長、瀧澤裕昭内閣情報官、公安調査庁の浦田啓一次長が入る"
"2020-05-27T17:19:00"	"北村国家安全保障局長、公安調査庁の浦田次長が出る"
"2020-05-27T17:33:00"	"瀧澤内閣情報官が出る"
"2020-05-27T17:34:00"	"森喜朗元総理大臣と面会（～17:47）"
"2020-05-27T18:00:00"	"ＥＵ＝欧州連合のミシェル大統領、フォンデアライエン欧州委員長とテレビ会議（～19:00）"
"2020-05-27T19:35:00"	"官邸発"
"2020-05-27T19:48:00"	"私邸着"
"2020-05-25T09:41:00"	"東京・富ヶ谷の私邸発"
"2020-05-25T09:54:00"	"官邸着"
"2020-05-25T10:17:00"	"拉致問題対策本部の石川正一郎事務局長と面会（～10:47）"
"2020-05-25T14:00:00"	"竹本ＩＴ担当大臣、内閣府の三又裕生知的財産戦略推進事務局長と面会（～14:12）"
"2020-05-25T14:30:00"	"岡田官房副長官、林肇官房副長官補、長谷川榮一総理大臣補佐官、今井尚哉総理大臣補佐官、外務省の森健良外務審議官、金杉憲治外務審議官、正木靖欧州局長、財務省の武内良樹財務官、厚生労働省の鈴木康裕医務技監、経済産業省の田中繁広経済産業審議官と面会（～15:00）"
"2020-05-25T15:27:00"	"北村滋国家安全保障局長と面会（～15:32）"
"2020-05-25T15:57:00"	"官邸発"
"2020-05-25T15:59:00"	"国会着"
"2020-05-25T16:00:00"	"院内総裁室に入る"
"2020-05-25T16:01:00"	"自民党役員会に出席（～16:33）"
"2020-05-25T16:33:00"	"院内総裁室を出る"
"2020-05-25T16:34:00"	"国会発"
"2020-05-25T16:35:00"	"官邸着"
"2020-05-25T16:39:00"	"菅官房長官、加藤厚生労働大臣、西村官房副長官、杉田官房副長官、北村国家安全保障局長、和泉洋人総理大臣補佐官、長谷川総理大臣補佐官、今井総理大臣補佐官、新型コロナウイルス感染症対策推進室の樽見英樹室長、外務省の秋葉剛男事務次官、厚生労働省の鈴木医務技監、経済産業省の荒井勝喜政策立案総括審議官と面会（～16:41）"
"2020-05-25T16:41:00"	"菅官房長官、加藤厚生労働大臣、西村官房副長官、岡田官房副長官、杉田官房副長官、北村国家安全保障局長、和泉総理大臣補佐官、長谷川総理大臣補佐官、今井総理大臣補佐官、新型コロナウイルス感染症対策推進室の樽見室長、外務省の秋葉事務次官、厚生労働省の鈴木医務技監、経済産業省の荒井政策立案総括審議官と面会（～16:52）"
"2020-05-25T18:00:00"	"記者会見（～19:10）"
"2020-05-25T19:15:00"	"新型コロナウイルス感染症対策本部に出席（～19:32）"
"2020-05-25T20:17:00"	"官邸発"
"2020-05-25T20:32:00"	"私邸着"
"2020-05-24T15:00:00"	"東京・富ヶ谷の私邸発"
"2020-05-24T15:11:00"	"官邸着"
"2020-05-24T15:13:00"	"麻生副総理兼財務大臣、加藤厚生労働大臣、財務省の岡本薫明事務次官、太田充主計局長が入った"
"2020-05-24T15:28:00"	"加藤厚生労働大臣が出た"
"2020-05-24T15:55:00"	"財務省の岡本事務次官と太田主計局長が出た"
"2020-05-24T16:00:00"	"麻生副総理兼財務大臣が出た"
"2020-05-24T16:02:00"	"加藤厚生労働大臣、菅官房長官、西村経済再生担当大臣、西村明宏官房副長官、岡田直樹官房副長官、杉田和博官房副長官、北村滋国家安全保障局長、今井尚哉総理大臣補佐官、新型コロナウイルス感染症対策推進室の樽見英樹室長、外務省の秋葉剛男事務次官、厚生労働省の鈴木康裕医務技監が入った"
"2020-05-24T16:32:00"	"杉田官房副長官、北村国家安全保障局長、外務省の秋葉事務次官が出た"
"2020-05-24T16:45:00"	"西村経済再生担当大臣、西村官房副長官、岡田官房副長官、新型コロナウイルス感染症対策推進室の樽見室長が出た"
"2020-05-24T17:16:00"	"全員が出た"
"2020-05-24T17:17:00"	"加藤厚生労働大臣、菅官房長官と面会（～17:21）"
"2020-05-24T18:05:00"	"官邸発"
"2020-05-24T18:16:00"	"東京・富ヶ谷の私邸着"
"2020-05-23T09:00:00"	"午前中は来客なく東京・富ヶ谷の私邸で過ごす"
"2020-05-23T15:41:00"	"私邸発"
"2020-05-23T15:53:00"	"加藤厚生労働大臣、西村経済再生担当大臣、菅官房長官、西村官房副長官、岡田官房副長官、杉田官房副長官、北村滋国家安全保障局長、和泉洋人総理大臣補佐官、長谷川榮一総理大臣補佐官、今井尚哉総理大臣補佐官、新型コロナウイルス感染症対策推進室の樽見英樹室長、外務省の秋葉剛男事務次官、厚生労働省の鈴木康裕医務技監と面会（～16:21）"
"2020-05-23T16:41:00"	"官邸発"
"2020-05-23T16:57:00"	"私邸着"
"2020-05-23T08:59:00"	"私邸発"
"2020-05-23T09:13:00"	"官邸着"
"2020-05-23T09:30:00"	"国連のグテレス事務総長と電話会談（～9:50）"
"2020-05-23T11:10:00"	"西村経済再生担当大臣、厚生労働省の伊原和人政策統括官、経済産業省の新原浩朗経済産業政策局長と面会（～11:36）"
"2020-05-23T11:37:00"	"北村滋国家安全保障局長、今井尚哉総理大臣補佐官、外務省の金杉憲治外務審議官、財務省の武内良樹財務官と面会（～11:58）"
"2020-05-23T13:23:00"	"官邸発"
"2020-05-23T13:24:00"	"国会着"
"2020-05-23T13:26:00"	"衆議院第１６委員室に入る"
"2020-05-23T13:30:00"	"衆議院厚生労働委員会に出席"
"2020-05-23T14:35:00"	"衆議院厚生労働委員会を途中退席"
"2020-05-23T14:36:00"	"国会発"
"2020-05-23T14:38:00"	"官邸着"
"2020-05-23T14:50:00"	"自民党の稲田朋美幹事長代行と面会（～15:32）"
"2020-05-23T15:38:00"	"瀧澤裕昭内閣情報官と面会（～16:04）"
"2020-05-23T16:06:00"	"北村国家安全保障局長、今井総理大臣補佐官、外務省の秋葉剛男事務次官が入る"
"2020-05-23T16:33:00"	"今井総理大臣補佐官、外務省の秋葉事務次官が出る"
"2020-05-23T16:35:00"	"北村国家安全保障局長が出る"
"2020-05-23T16:36:00"	"加藤厚生労働大臣、菅官房長官、西村経済再生担当大臣、西村明宏官房副長官、岡田直樹官房副長官、杉田和博官房副長官、北村国家安全保障局長、和泉洋人総理大臣補佐官、長谷川榮一総理大臣補佐官、今井総理大臣補佐官、新型コロナウイルス感染症対策推進室の樽見英樹室長、外務省の秋葉事務次官、厚生労働省の鈴木康裕医務技監が入る"
"2020-05-23T16:56:00"	"外務省の秋葉事務次官が出る"
"2020-05-23T17:11:00"	"加藤厚生労働大臣、菅官房長官、西村経済再生担当大臣、西村官房副長官、岡田官房副長官、杉田官房副長官、和泉総理大臣補佐官、長谷川総理大臣補佐官、今井総理大臣補佐官、新型コロナウイルス感染症対策推進室の樽見室長、厚生労働省の鈴木医務技監が出る"
"2020-05-23T17:18:00"	"北村国家安全保障局長が出る"
"2020-05-23T17:19:00"	"全世代型社会保障検討会議（～18:03）"
"2020-05-23T19:22:00"	"官邸発"
"2020-05-23T19:34:00"	"私邸着"
"2020-05-21T09:42:00"	"東京・富ヶ谷の私邸発"
"2020-05-21T09:54:00"	"官邸着　記者団から黒川検事長辞任報道について問われ、「法務省で事実関係を確認しているがまだ報告受けてない」と答える"
"2020-05-21T09:58:00"	"麻生副総理兼財務大臣、財務省の岡本薫明事務次官、太田充主計局長と面会（～11:20）"
"2020-05-21T11:40:00"	"北村滋国家安全保障局長、今井尚哉総理大臣補佐官、金杉憲治外務審議官と面会（～11:57）"
"2020-05-21T15:31:00"	"自民党の岸田政務調査会長らから、第２次補正予算についての提言書を受け取る（～15:59）"
"2020-05-21T16:00:00"	"自民党の岸田政務調査会長と面会（～16:11）"
"2020-05-21T17:03:00"	"ＮＳＣ＝国家安全保障会議の４大臣会合（～17:21）"
"2020-05-21T17:22:00"	"森法務大臣と面会　黒川検事長が緊急事態宣言中に賭けマージャンをしたという調査結果と、検事長から辞表が提出されたことの報告を受ける（～17:34）"
"2020-05-21T17:35:00"	"菅官房長官、加藤厚生労働大臣、西村経済再生担当大臣、西村官房副長官、岡田官房副長官、杉田官房副長官、北村国家安全保障局長、和泉洋人総理大臣補佐官、長谷川榮一総理大臣補佐官、今井総理大臣補佐官、新型コロナウイルス感染症対策推進室の樽見英樹室長、外務省の秋葉剛男事務次官、厚生労働省の鈴木康裕医務技監と面会（～17:48）"
"2020-05-21T18:05:00"	"官邸内で記者団の取材に応じ、緊急事態宣言を継続する首都圏と北海道については感染者の減少傾向続く場合は今月25日にも解除が可能だと認識示す　また、黒川検事長の定年延長について「総理大臣として責任はある」と述べる（～18:12）"
"2020-05-21T18:13:00"	"新型コロナウイルス感染症対策本部（～18:24）"
"2020-05-21T18:25:00"	"茂木外務大臣と面会（～18:34）"
"2020-05-21T19:23:00"	"トルコに日本の商社が現地企業と建設した病院の開院式典にテレビ会議方式で参加（～19:52）"
"2020-05-21T19:56:00"	"官邸発"
"2020-05-21T20:09:00"	"私邸着　そのまま来客なし"
"2020-05-20T09:41:00"	"東京・富ヶ谷の私邸発"
"2020-05-20T09:55:00"	"官邸着"
"2020-05-20T14:30:00"	"加藤厚生労働大臣と面会（～15:06）"
"2020-05-20T15:07:00"	"北村滋国家安全保障局長、瀧澤裕昭内閣情報官、外務省の山田重夫総合外交政策局長、防衛省の槌道明宏防衛政策局長、自衛隊の山崎幸二統合幕僚長が入る"
"2020-05-20T17:30:00"	"瀧澤内閣情報官、外務省の山田総合外交政策局長、防衛省の槌道防衛政策局長、自衛隊の山崎統合幕僚長が出た"
"2020-05-20T17:36:00"	"北村国家安全保障局長が出た"
"2020-05-20T18:02:00"	"加藤厚生労働大臣、菅官房長官、西村経済再生担当大臣、西村明宏官房副長官、岡田直樹官房副長官、和泉洋人総理大臣補佐官、長谷川榮一総理大臣補佐官、今井尚哉総理大臣補佐官、新型コロナウイルス感染症対策推進室の樽見英樹室長、外務省の秋葉剛男事務次官、厚生労働省の鈴木康裕医務技監と面会（～18:25）"
"2020-05-20T18:26:00"	"加藤厚生労働大臣、西村経済再生担当大臣と面会（～18:32）"
"2020-05-20T18:33:00"	"西村経済再生担当大臣と面会（～18:39）"
"2020-05-20T19:28:00"	"官邸発"
"2020-05-20T19:43:00"	"東京・富ヶ谷の私邸着"
"2020-05-19T09:39:00"	"私邸発"
"2020-05-19T09:51:00"	"官邸着"
"2020-05-19T10:15:00"	"ペルーのビスカラ大統領と電話会談（～10:35）"
"2020-05-19T15:43:00"	"国家戦略特区諮問会議に出席（～16:16）"
"2020-05-19T16:26:00"	"北村滋国家安全保障局長、瀧澤裕昭内閣情報官、内閣衛星情報センターの宮川正所長と面会（～16:57）"
"2020-05-19T17:02:00"	"国と地方の協議の場に出席（～17:51）"
