	12:55	参議院第1委員会室を出る	
	12:57	国会発	
	12:59	官邸着	
	13:53	官邸発	
	13:54	国会着	
	13:56	参議院議長応接室に入る	
	13:57	参議院議長応接室を出て、参議院本会議場に入る	
	14:01	参議院本会議が開会	
	14:57	参議院本会議を途中退席し、参議院議長応接室に入る	
	14:58	参議院議長応接室を出る	
	14:59	国会発	
	15:01	官邸着	
	15:04	橋本オリンピック・パラリンピック担当大臣、東京オリンピック・パラリンピック推進本部の平田竹男事務局長と面会（～15:26）	
	15:56	官邸発	
	15:58	国会着	
	16:00	参議院議長応接室に入る	
	16:08	参議院議長応接室を出る	
	16:09	参議院の山東昭子議長、小川敏夫副議長、松村祥史議院運営委員長、与野党各会派にあいさつ回り。麻生副総理兼財務大臣、菅官房長官、岡田官房副長官ら同行（～16:21）	
	16:24	国会発	
	16:26	官邸着	
	16:42	北村滋国家安全保障局長、林肇官房副長官補、今井尚哉総理大臣補佐官、外務省の秋葉剛男事務次官と面会	
	16:53	林官房副長官補、今井総理大臣補佐官、外務省の秋葉事務次官が出る	
	16:57	北村国家安全保障局長が出る	
	17:00	瀧澤裕昭内閣情報官と面会（～17:31）	
	17:35	加藤厚生労働大臣、菅官房長官、西村明宏官房副長官、岡田官房副長官、杉田和博官房副長官、沖田芳樹内閣危機管理監、北村国家安全保障局長、古谷一之官房副長官補、前田哲官房副長官補、長谷川榮一総理大臣補佐官、今井総理大臣補佐官、新型コロナウイルス感染症対策推進室の樽見英樹室長、総務省の黒田武一郎事務次官、外務省の秋葉事務次官、財務省の岡本薫明事務次官、厚生労働省の鈴木俊彦事務次官、鈴木康裕医務技監、農林水産省の末松広行事務次官、経済産業省の安藤久佳事務次官、荒井勝喜政策立案総括審議官と面会	
	17:47	沖田内閣危機管理監、前田官房副長官補、総務省の黒田事務次官、農林水産省の末松事務次官が出る	
	18:14	古谷官房副長官補が出る	
	18:18	西村康稔経済再生担当大臣が加わる	
	18:30	全員出る	
	18:34	新型コロナウイルス感染症の実体経済への影響に関する集中ヒアリング（～20:06）	
	20:31	官邸発	
	20:32	公邸着。そのまま宿泊	

3/26	9:40	私邸発	
	9:53	官邸着	
	9:57	自民党の山口泰明組織運動本部長と面会（～10:19）	
	12:10	加藤厚生労働大臣、西村経済再生担当大臣と面会　専門家会議の見解踏まえ「まん延のおそれが高い」と報告を受け、特別措置法に基づく「政府対策本部」を設置する方針を決める（～12:22）	
	15:01	西村経済再生担当大臣、内閣府の山崎重孝事務次官、田和宏内閣府審議官と面会	
	15:10	山崎事務次官、田和内閣府審議官が出る	
	15:13	西村経済再生担当大臣が出る	
	15:59	自民党の岸田政務調査会長と面会（～16:30）	
	16:37	西村経済再生担当大臣、内閣府の山崎事務次官、田和内閣府審議官、多田明弘政策統括官、経済産業省の新原浩朗経済産業政策局長と面会（～17:00）	
	17:01	菅官房長官、西村経済再生担当大臣、西村官房副長官、杉田官房副長官、沖田芳樹内閣危機管理監、北村滋国家安全保障局長、長谷川榮一総理大臣補佐官、今井尚哉両総理大臣補佐官、新型コロナウイルス感染症対策推進室の樽見英樹室長、外務省の秋葉剛男事務次官、厚生労働省の鈴木俊彦事務次官、鈴木康裕医務技監、経済産業省の荒井勝喜政策立案総括審議官と面会	
	17:11	加藤厚生労働大臣が加わる	
	17:17	全員出る	
	17:20	月例経済報告関係閣僚会議（～17:34）	
	17:43	特別措置法に基づいて設置された「政府対策本部」の初会合（～17:58）	
	18:07	新型コロナウイルス感染症の実体経済への影響に関する集中ヒアリング（～19:23）	
	20:02	東京都の小池知事と面会（～20:16）	
	21:01	Ｇ２０電話会議（～23:11）	
	23:12	官邸発	
	23:13	公邸着　そのまま公邸泊	

3/25	9:25	東京・富ケ谷の私邸発	
3/25	9:39	官邸着	
3/25	10:02	アメリカのトランプ大統領と電話会談（～10:40）	
3/25	11:00	オーストラリアのモリソン首相と電話会談（～11:45）	
3/25	13:51	梶山経済産業大臣と経済産業省の安藤久佳事務次官と面会（～14:20）	
3/25	14:30	拉致問題対策本部の石川正一郎事務局長と面会（～15:00）	
3/25	15:01	内閣府の青柳一郎政策統括官、国土交通省の五道仁実水管理・国土保全局長、気象庁の関田康雄長官と面会（～15:14）	
3/25	15:31	北村滋国家安全保障局長、長谷川榮一総理大臣補佐官、今井尚哉総理大臣補佐官、外務省の金杉憲治審議官、財務省の武内良樹財務官、厚生労働省の鈴木康裕医務技監、経済産業省の田中繁広審議官と面会（～15:59）	
3/25	16:05	防衛省の髙橋憲一事務次官と面会（～16:15）	
3/25	16:16	自民党の高鳥修一総裁特別補佐と面会（～16:28）	
3/25	16:29	西村経済再生担当大臣、西村明宏官房副長官、杉田和博官房副長官、沖田芳樹内閣危機管理監、北村国家安全保障局長、古谷一之官房副長官補、前田哲官房副長官補、長谷川総理大臣補佐官、今井総理大臣補佐官、新型コロナウイルス感染症対策推進室の樽見英樹室長、外務省の秋葉剛男事務次官、厚生労働省の鈴木俊彦事務次官、鈴木医務技監と面会（～16:58）	
3/25	16:59	西村経済再生担当大臣と面会（～17:06）	
3/25	17:15	北村国家安全保障局長、林肇官房副長官補、前田官房副長官補、瀧澤裕昭内閣情報官、外務省の山田重夫総合外交政策局長、防衛省の槌道明宏防衛政策局長、自衛隊の山崎幸二統合幕僚長と面会（～17:42）	
3/25	17:43	北村国家安全保障局長と面会（～17:46）	
3/25	18:58	官邸発	
3/25	19:18	東京・富ケ谷の私邸着	

3/24	8:06	私邸発	
	8:18	官邸着	
	8:28	閣議（～8:45）	
