3/6	11:53	参議院第１委員会室を出る	
3/6	11:55	国会発	
3/6	11:57	官邸着	
3/6	12:55	官邸発	
3/6	12:56	国会着	
3/6	12:58	参議院第１委員会室に入る	
3/6	13:00	参議院予算委員会が再開	
3/6	15:13	参議院予算委員会が散会	
3/6	15:15	参議院第１委員会室を出る	
3/6	15:17	国会発	
3/6	15:19	官邸着	
3/6	16:58	官邸発	
3/6	16:59	国会着	
3/6	17:01	国会内の自民党総裁室に入り、自民党役員会に出席	
3/6	17:37	自民党総裁室を出る	
3/6	17:38	国会発	
3/6	17:41	官邸着	
3/6	18:42	官邸発	
3/6	18:44	東京・永田町の「ザ・キャピトルホテル東急」着 レストラン「ORIGAMI」で秘書官と食事	夕食
3/6	20:13	「ザ・キャピトルホテル東急」発	
3/6	20:30	私邸着	

3/24	9:00	午前中は来客なく、東京・富ヶ谷の私邸で過ごす	
3/24	13:48	私邸発	
3/24	14:05	東京・品川区の「五反田リハビリテーション病院」着　自民党の岸信夫衆議院議員の義母の見舞い	
3/24	14:29	病院発	
3/24	14:48	私邸着
3/23	9:06	東京・富ヶ谷の私邸発	
3/23	9:19	東京・千代田区の「ホテルニューオータニ」着	
3/23	9:30	第5回国際女性会議WAW!/W20に出席し、あいさつ	
3/23	10:47	「ホテルニューオータニ」発	
3/23	10:59	東京・新宿区の東京女子医科大学病院着　難病を患っている女子高校生を見舞う	
3/23	11:14	東京女子医科大学病院発	
3/23	11:38	私邸着	
3/23	14:06	私邸発	
3/23	14:23	東京・六本木のホテル「グランドハイアット東京」着　ホテル内の「ＮＡＧＯＭＩ　スパ　アンド　フィットネス」で運動	
3/23	17:40	「グランドハイアット東京」発	
3/23	18:03	私邸着
3/22	8:07	東京・富ヶ谷の私邸発	
3/22	8:20	官邸着	
3/22	8:28	閣議（～8:41）	
3/22	13:49	内閣府の池永肇恵男女共同参画局長、外務省の鈴木哲総合外交政策局長と面会（14:25）	
3/22	15:38	北村滋内閣情報官と面会（～16:05）	
3/22	16:06	世耕経済産業大臣と面会（～16:33）	
3/22	17:02	国連のバチェレ人権高等弁務官と面会（～17:37）	
3/22	18:02	政府主催で3月23日から2日間の日程で東京都内で開かれる「国際女性会議・WAW！」に出席するため、初めて日本を訪れたノーベル平和賞受賞者、マララ・ユスフザイさんと会談（～18:16）	
